longitude,latitude,incident_date,break_type,break_nature,break_apparent_cause,break_categorization,asset_size,asset_year_installed,asset_material,num_breaks,age_at_break,positive_pressure_maintaned,air_gap_maintaned,mechanical_removal,flushing_excavation,higher_velocity_flushing,anode_installed,asset_exists,connections,failure_rate
-80.4287274629984,43.4322109501553,2001-03-13,0,4,4,0,150.0,1961-01-01,1,9,40.0,1,1,1,1,1,1,1,9,0.22
-80.4264809886046,43.4349490718271,2005-03-06,0,4,4,0,150.0,1963-01-01,1,3,42.0,1,1,1,1,1,1,1,3,0.07
-80.4478447662772,43.4581961058512,1997-11-05,0,4,4,0,150.0,1965-01-01,1,1,32.0,1,1,1,1,1,1,1,1,0.03
-80.5265809497953,43.4407583044047,2009-01-21,0,4,4,0,150.0,1968-01-01,4,3,41.0,1,1,1,1,1,1,1,3,0.07
-80.4974141366771,43.4123149861773,2000-11-09,0,4,4,0,150.0,1977-01-01,4,2,23.0,1,1,1,1,1,1,1,2,0.09
-80.5051309339115,43.4357238146617,2007-01-27,0,4,4,0,150.0,1949-01-01,1,5,58.0,1,1,1,1,1,1,1,6,0.09
-80.5255316511009,43.4203687169179,2008-09-12,0,4,4,0,150.0,1969-01-01,1,1,39.0,1,1,1,1,1,1,1,2,0.03
-80.4724466500222,43.4552564268435,2004-02-29,0,4,4,0,150.0,1953-01-01,1,4,51.0,1,1,1,1,1,1,1,4,0.08
-80.4166163098391,43.4304591467195,2002-12-12,0,4,4,0,200.0,1972-01-01,4,1,30.0,1,1,1,1,1,1,1,1,0.03
-80.4478392837263,43.4591770324458,2002-01-26,0,4,4,0,200.0,1966-01-01,4,6,36.0,1,1,1,1,1,1,1,6,0.17
-80.5167773834458,43.43104763663,2005-01-06,0,4,4,0,200.0,1966-01-01,1,2,39.0,1,1,1,1,1,1,1,2,0.05
-80.48108286215,43.4846601142594,1999-01-10,0,4,4,0,150.0,1979-01-01,4,2,20.0,1,1,1,1,1,1,1,3,0.1
-80.5279800314122,43.4210096088745,1998-12-04,0,4,4,0,150.0,1971-01-01,1,2,27.0,1,1,1,1,1,1,1,2,0.07
